id,commit_hash,reviewer,is_bug_fixing_commit,is_obvious_bug,is_safety_related,type_of_safety_related,comment,link_visited
182,b51aa532e105722d0dfb21718f0b32780c9e8e8d,Abhishek Kumar,false,none,none,none,,false
183,da15b409ef4c56e9741deddb91798370802d1d02,Abhishek Kumar,false,none,none,none,,false
184,f17bc788f7b97c36b8f3fbef14555a2a16ee3f69,Abhishek Kumar,false,none,none,none,,false
185,bb682f7a91af08f1fdb669d3911978d7166a65d1,Abhishek Kumar,false,none,none,none,,false
186,feb00b736af64875560f371fe7f58b0b7f239046,Abhishek Kumar,false,none,none,none,,false
187,2acfab7101140e93928a61ca48d7e442aa538dd7,Abhishek Kumar,true,true,unknown,none,,false
188,d5dd781bcc81aa31b62310927f25cfa2574450f1,Abhishek Kumar,true,true,false,none,,false
189,de24d97fb845ffd2229811ee256438e42b5a8d12,Abhishek Kumar,false,none,none,none,,false
190,455c5653f50e10b4f460ef24e99f0044fbe3401c,Abhishek Kumar,true,true,unknown,none,,false
191,442c7128219b1769af5685c5453b13711f6b84e2,Abhishek Kumar,false,none,none,none,,false
192,ad1c2f39fda0acb51b5a93604c5e1a703b849a7d,Abhishek Kumar,true,false,false,none,,false
193,b50113cbdd1340c31e85e4cfc5f5e81ce9cbb2aa,Abhishek Kumar,false,none,none,none,,false
194,a15e367b02543f96ae845baf7be4526080437305,Abhishek Kumar,false,none,none,none,,false
195,c65d68e7e95a39da31d64d67d5bea6550b91fb43,Abhishek Kumar,false,none,none,none,,false
196,ea90330fa329e4bee009223a1d5a7d9bcc364df2,Abhishek Kumar,true,true,false,none,,false
197,ebbb07b8d349fc2eccb67780850d2d1bbfc918d6,Abhishek Kumar,false,none,none,none,,false
198,363e52998c839ce77d7d5dd6f3e575bb68449afd,Abhishek Kumar,false,none,none,none,,false
199,6f50ebf280be67c7eacd229080b82496e1077ff0,Abhishek Kumar,true,true,false,none,,false
200,eb893e34309ce2153003f3f2a13cdbfdea939e00,Abhishek Kumar,false,none,none,none,,false
201,a3a59919ab662682a2cb77b25b0f7b9e6c78737e,Abhishek Kumar,false,none,none,none,,false
202,226231544f937e3bbb05b73c10556f17172f1a4d,Abhishek Kumar,true,true,unknown,none,,false
252,51911d1c1bb3e30b57e3af1072a3b6e583f3df5f,Abhishek Kumar,false,none,none,none,,false
253,18c91bb2d87268d23868bf13508f5bc9cf04e89a,Abhishek Kumar,true,true,true,Timing and execution,,false
254,e45cce30eade14cdc1a98a9c1cd51f3294e3597b,Abhishek Kumar,true,unknown,true,Memory,,false
255,c4816a1b7fed3c000b37ad6516f65aad8bc5fba6,Abhishek Kumar,false,none,none,none,,false
256,f1d98f346ee34ef41369ace9f91fc4f46a3e30cb,Abhishek Kumar,false,none,none,none,,false
257,ab14f1802cfb2d7ca120bbf48e3ba6712314ffc3,Abhishek Kumar,true,false,false,none,,false
258,3265f421887847db9ae2c01a00645e33608556d8,Abhishek Kumar,false,none,none,none,,false
259,3268ee8f5bc4b450cdbe4a29a8b039ca6531048c,Abhishek Kumar,false,none,none,none,,false
260,88590b369354092183bcba04e2368010c462557f,Abhishek Kumar,false,none,none,none,,false
261,920a9fa27e7805499cfe78491b36fed2322c02ec,Abhishek Kumar,true,true,true,Exchange of Information,,false
262,e66d117222047ea90f92e065f929bc0e0eec3647,Abhishek Kumar,false,none,none,none,,false
263,e2f736b753ecb70174f862aa040184e85c158255,Abhishek Kumar,false,none,none,none,,false
264,038fcdaf0470de89619bc4cc199e329391e6566c,Abhishek Kumar,true,true,unknown,none,,false
265,50fc9786b25cf0a39f22a599b05b29a32b76034d,Abhishek Kumar,false,none,none,none,,false
266,da7af0aa20f8ad89f09d50d262e44cd5eafab816,Abhishek Kumar,true,true,unknown,none,,false
267,c1ea345deda86cd5a1e19ca84ec3c75c3db2bc59,Abhishek Kumar,false,none,none,none,,false
268,bf08d58543415f5e31a0e7a6401abcdd76826847,Abhishek Kumar,false,none,none,none,,false
269,1b8c924a05934d2e758ec7da7bd217ef8ebd80ce,Abhishek Kumar,true,true,true,Memory,,false
270,12b1b997c0e5604f1a5c081f51ff67f4c814b7dd,Abhishek Kumar,true,true,true,Exchange of Information,Not 100% sure ,false
271,b9e8b58fd2cb30cb6e01d72c7d32286810a9bca9,Abhishek Kumar,false,none,none,none,,false
272,2d1d548ec14478fc9705d8e1e5a8fe35933e54f0,Abhishek Kumar,false,none,none,none,,false
273,a3662007a12edde4d3291fc60c42e6b5d01ced5e,Abhishek Kumar,false,none,none,none,,false
274,c3cde44f3c6e44ce42368066dede0bc3c9b1952a,Abhishek Kumar,false,none,none,none,,false
275,589a07b8eb49e5293c42cb40100eb9ee02731faf,Abhishek Kumar,false,none,none,none,,false
276,0eb4e7ee1655b7ffd3204a35d77b809d42613cb9,Abhishek Kumar,false,none,none,none,,false
277,2c9ec169f70bb13f71cf91cf018680e6e4fc8ce6,Abhishek Kumar,false,none,none,none,,false
278,3e18bcb778e636045e091ddc09c2b69594bc844c,Abhishek Kumar,false,none,none,none,,false
279,5dca295dd76756c7918ad7113fc4a3cf8262ed43,Abhishek Kumar,false,none,none,none,,false
280,176989b412b6429dd60091174a6fee9344d71706,Abhishek Kumar,false,none,none,none,,false
281,86371b735f5821503b83360d72b6bdb044551779,Abhishek Kumar,false,none,none,none,,false
