hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset
ec80906b0f,Abhishek_2,4,PRC,0,0,4,0,0,0,,,,,,,20.05686092,False,False,,False,False
9995c1d096,Abhishek_2,4,nfc,0,0,0,4,0,0,,,,,,,83.99915695,False,False,,False,False
a3b774342f,Abhishek_2,4,bfc,4,0,0,0,0,0,0,0,,,,,26.65819192,False,False,,False,False
