hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
60f6fe665e,Michel1,4,Add sanity check?,0,4,0,0,0,0,,,,,,,90.9724576473236,False,True,,False,False,False
3128ea0169,Michel1,4,Increase a variable to accept rx frames,3,0,0,0,0,0,0.0,0.0,,,,,114.2839982509613,False,True,,False,True,False
130fc180a4,Michel1,3,Asses that resources are properly freed,0,4,0,0,0,0,,,,,,,146.08599090576172,False,True,,False,True,False
72e560cb8c,Michel1,4,Make tcp_cdg_release() more resilent,4,0,0,0,0,0,0.0,0.0,,,,,85.79680752754211,False,True,,False,True,False
747c7cf159,Michel1,4,Fix scale max and min values ,4,0,0,0,0,0,0.0,0.0,,,,,64.03335762023926,False,True,,False,True,False
690b2549b1,Michel1,4,FIx to prevent memory corruption,0,4,0,0,0,0,,,,,,,55.40503859519959,False,True,,False,True,False
088c840599,Michel1,4,Just avoid a warning,0,4,0,0,0,0,,,,,,,102.79619598388672,False,True,,False,True,False
d49fc69293,Michel1,3,"Fix a warning, just a comiler problem",0,3,0,0,0,0,,,,,,,115.00132989883424,False,True,,False,False,False
208cc9fe6f,Michel1,4,A check is added,4,0,0,0,0,0,0.0,0.0,,,,,82.52966666221619,False,True,,False,False,False
ae962e5f63,Michel1,4,Rename a variable to avoid confusion,0,0,4,0,0,0,,,,,,,76.39698386192322,False,False,,False,False,False
6a6f457ed5,Michel1,4,Prevent a possible bug related with an array,0,4,0,0,0,0,,,,,,,79.1856701374054,False,False,,False,False,False
ec906102e5,Michel1,4,Fix a tests,3,0,1,0,0,0,0.0,0.0,,,,,114.52596807479858,False,True,,False,False,False
a156f09c90,Michel1,4,A check is moved that might not be correct because it was executed too early.,0,4,0,0,0,0,,,,,,,70.43720388412476,False,True,,False,False,False
