hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
8f0588e80e,Michel,4,handle possible null,4,3,0,0,0,0,2.0,3.0,4.0,,,Possible null pointer?,80.08916115760803,True,True,,False,False,True
ad5c5690de,Michel,4,Add new func,0,0,0,4,0,0,,,,,,,28.55971550941468,True,True,,False,True,True
b5fa1d09f1,Michel,4,Just convert var into const,0,0,4,0,0,0,,,,,,,40.67361545562744,True,True,,False,False,False
dfafa56029,Michel,4,Refactoring: Use a helper instead of ad-hoc function,0,0,4,0,0,0,,,,,,,98.01870942115784,True,True,,False,False,True
a7663c89f4,Michel,4,Expor variables to fix a error,4,3,0,0,0,0,4.0,0.0,,,,,40.745869398117065,True,True,,False,False,True
c86d18f4aa,Michel,4,Fix a memory leak,4,3,0,0,0,0,0.0,4.0,,4.0,,Memory leak,40.10104060173035,False,True,,False,False,True
bb2aa78e9a,Michel,4,Just move code,0,0,4,0,0,0,,,,,,,42.68293833732605,True,True,,False,True,True
f93e2a100e,Michel,4,Check added for possible wrong memory access,1,4,3,0,0,0,0.0,1.0,,4.0,,"Avoid possible wrong memory access, but is not really a bug fix",99.22699904441832,False,True,,False,False,True
c3ad8d23bc,Michel,4,Add new func,0,0,0,4,0,0,,,,,,,29.662851333618164,False,True,,False,True,True
48bff1053c,Michel,4,Improve random numbers generation,0,0,4,1,0,0,,,,,,,85.0792989730835,True,True,,False,False,True
5a48b7433a,Michel,4,Changes docs,0,0,4,0,0,0,,,,,,,31.454413414001465,True,True,,False,False,True
e5fc78252c,Michel,4,Add new func,0,0,0,4,0,0,,,,,,,47.77488613128662,True,True,,False,True,True
862a876c3a,Michel,3,Move a sentence to fix a bug ,4,2,0,0,0,0,0.0,2.0,,,,,106.323228597641,True,True,,False,True,True
ef1a0808a2,Michel,4,Just update a header,0,0,4,0,0,0,,,,,,,52.89484643936157,True,True,,False,False,False
16ed828b87,Michel,4,Fix a resource leak,4,0,0,0,0,0,0.0,4.0,,4.0,,Memory leak,67.67015051841736,True,True,,False,False,True
b087a381d7,Michel,4,Its a fix related to an incorrect memory free,4,0,0,0,0,0,0.0,3.0,,4.0,,Possible memory leak,111.58367967605592,True,True,,False,True,True
5dc6ce767d,Michel,4,Changes on docs,0,0,4,0,0,0,,,,,,,26.226900815963745,True,True,,False,False,True
8b1ac84dcf,Michel,4,change docs,0,0,4,0,0,0,,,,,,,32.18281292915344,True,True,,False,True,True
7c8881b779,Michel,4,Fix a memory leak,4,0,0,0,0,0,0.0,4.0,,4.0,,Fix a memory leak,44.75332045555115,True,True,,False,False,True
907862e9ae,Michel,4,Fix an infinity loop,4,0,0,0,0,0,0.0,4.0,4.0,,,Fix an infinity loop,46.55455231666565,True,True,,False,False,True
5f24d5a579,Michel,1,Move code and replace a sentence to function to allow an specific arch to ... do something,1,2,3,1,0,0,0.0,0.0,,,,,854.628026008606,True,True,,False,False,True
6e1ff1459e,Michel,4,Add support for separates components,0,0,0,4,0,0,,,,,,,40.61198210716248,True,True,,False,True,True
0adc2ab0e8,Michel,3,Keep IO flags in case of spliting. Maybe this avoid possible errors?,0,3,3,0,0,0,,,,,,,125.95865726470949,True,True,,False,True,True
fa1ef24ae2,Michel,4,Change text and change a warn print to info print,0,0,4,0,0,0,,,,,,,111.40127182006836,True,True,,False,True,True
3e5a8e8494,Michel,3,The change avoid possible reset timeouts issues,0,4,3,0,0,0,,,,,,,128.7396388053894,True,True,,False,False,True
570a4bf744,Michel,4,Add a check to avoid a 0 value,4,0,0,0,0,0,0.0,0.0,,,,,38.44954705238342,False,False,,False,False,False
a7ecbe92b9,Michel,4,Move a lock to avoid a race condition,4,0,0,0,0,0,0.0,4.0,4.0,,,Move a lock to avoid a race condition,94.0118646621704,True,True,,False,True,True
93a8417088,Michel,3,Fix a bug related to acounter just by adding a get before the set,4,0,0,0,0,0,2.0,0.0,,,,,120.30570363998412,True,True,,False,True,True
c223929418,Michel,4,The commit fixes a bug so that only existing registries are deleted.,4,0,0,0,0,0,2.0,0.0,,,,,140.82517099380493,True,True,,False,False,True
4df002d908,Michel,4,Remove config when its not necessary,0,0,4,0,0,0,,,,,,,62.30649876594544,True,True,,False,True,True
fb036ad7db,Michel,4,Increase memory  provided on a script,0,0,4,0,0,0,,,,,,,44.824034214019775,False,True,,False,True,True
4e5bc0a9a1,Michel,3,Looks like a part of a bigger change,0,0,3,3,0,0,,,,,,,64.33263802528381,True,True,,False,True,True
e24ccaaf7e,Michel,4,Remove old doc,0,0,4,0,0,0,,,,,,,31.13979148864746,True,True,,False,True,True
f624506f98,Michel,4,Remove dead code,0,0,4,0,0,0,,,,,,,36.045679330825806,True,True,,False,True,True
9aeb7f99a1,Michel,3,Fixed a lock issue and improved error messages.,4,3,3,0,0,0,0.0,4.0,4.0,,,Fix locks,495.1770713329315,True,True,,False,True,True
e2efb6359e,Michel,4,removes the useless WBINVDs,0,0,4,0,0,0,,,,,,,127.52401375770567,True,True,,False,True,True
aeb8441203,Michel,4,Avoid literal cast to void* with absolute_pointer() macro,1,0,3,0,0,0,0.0,0.0,,,,,127.45238447189332,True,True,,False,True,True
5a0893088a,Michel,4,Remove dead code,0,0,4,0,0,0,,,,,,,33.15793037414551,True,True,,False,False,True
f5c0b4f304,Michel,4,Refactor code,0,0,4,0,0,0,,,,,,,60.14097309112549,True,True,,False,True,True
327c348988,Michel,4,Improve logger,0,0,4,0,0,0,,,,,,,42.50832486152649,True,True,,False,True,True
fcdc03f78d,Michel,4,Just cleanup file,0,0,4,0,0,0,,,,,,,61.72917795181274,True,True,,False,False,False
710c8d6c02,Michel,4,Set const as static,0,0,4,0,0,0,,,,,,,51.20427513122559,True,True,,False,False,True
a59f7a7f76,Michel,4,Change testing code,0,0,4,0,0,0,,,,,,,44.674320936203,True,True,,False,True,True
03f16cd020,Michel,4,Add new config option,0,0,3,4,0,0,,,,,,,210.77773451805115,True,True,,False,True,True
d6d0c7f681,Michel,4,Add new option,0,0,0,4,0,0,,,,,,,39.81062865257263,True,True,,False,True,True
ddaefa209c,Michel,4,Chip parameter becomes mandatory,0,4,3,0,0,0,,,,,,,89.97551679611206,True,True,,False,True,True
d9edc4bc67,Michel,3,A new implementation is added that seems to prevent problems ,1,3,0,3,0,0,0.0,0.0,,,,,116.7728853225708,True,True,,False,True,True
0c9ee5ba75,Michel,4,Add static modifier to a method to avoid a warning,0,0,4,0,0,0,,,,,,,36.10061860084534,True,True,,False,False,True
bfb5711e24,Michel,4,Use a more accureate func,0,0,4,0,0,0,,,,,,,52.16256761550903,True,True,,False,False,True
116c3f4a78,Michel,4,Increase brightness,0,0,0,3,0,0,,,,,,,51.128700971603394,True,True,,False,False,True
6eaf08770e,Michel,4,Just add a warning in certain cases,0,0,4,0,0,0,,,,,,,43.60280752182007,True,True,,False,True,True
002752af7b,Michel,4,Change error handler,1,0,4,0,0,0,2.0,0.0,,,,,100.6165509223938,True,True,,False,True,True
